group,matrix_count,diversity_label,categorical_diversity_score,mixed_attribute_count_dominant_share_lt_0_90,distinct_kinds,dimension_log10_span,nnz_log10_span,nentries_log10_span,matrices_with_explicit_zeros,explicit_zero_count_total,nrows_min,nrows_median,nrows_max,ncols_min,ncols_median,ncols_max,nnz_min,nnz_median,nnz_max,nentries_min,nentries_median,nentries_max,pattern_symmetry_min,pattern_symmetry_median,pattern_symmetry_max,numerical_symmetry_min,numerical_symmetry_median,numerical_symmetry_max,shape_counts,dominant_shape,dominant_shape_share,structure_counts,dominant_structure,dominant_structure_share,entry_type_counts,dominant_entry_type,dominant_entry_type_share,exact_symmetry_counts,dominant_exact_symmetry,dominant_exact_symmetry_share,positive_definite_counts,dominant_positive_definite,dominant_positive_definite_share,kind_counts,dominant_kind,dominant_kind_share,structural_full_rank_counts,dominant_structural_full_rank,dominant_structural_full_rank_share,is_2d3d_counts,dominant_is_2d3d,dominant_is_2d3d_share,cholesky_candidate_counts,dominant_cholesky_candidate,dominant_cholesky_candidate_share,size_band_counts,dominant_size_band,dominant_size_band_share,smallest_nrows_matrices,largest_nrows_matrices,smallest_ncols_matrices,largest_ncols_matrices,smallest_nnz_matrices,largest_nnz_matrices,smallest_nentries_matrices,largest_nentries_matrices
Gleich,10,categorically_heterogeneous,0.15,3,2,3.571315,3.937127,3.937127,0,0,2642,1227933.5,9845725,2642,1227933.5,9845725,6606,14795146,57156537,6606,14795146,57156537,0.1171832378930545,0.3926833803963951,1.0,0.1171832378930545,0.3926833803963951,1.0,square:10,square,1.0,symmetric:3; unsymmetric:7,unsymmetric,0.7,binary:10,binary,1.0,exact_numerical_or_hermitian:3; partially_pattern_symmetric:7,partially_pattern_symmetric,0.7,no:10,no,1.0,directed graph:7; undirected graph:3,directed graph,0.7,missing:10,missing,1.0,no:10,no,1.0,no:10,no,1.0,100k_to_1m:3; 1k_to_10k:2; ge_1m:5,ge_1m,0.5,Gleich/minnesota=2642,Gleich/wb-edu=9845725,Gleich/minnesota=2642,Gleich/wb-edu=9845725,Gleich/minnesota=6606,Gleich/wb-edu=57156537,Gleich/minnesota=6606,Gleich/wb-edu=57156537
Goodwin,12,mixed_some_attributes,0.027778,1,2,2.178867,2.252858,2.252858,1,12,1182,14032,178437,1182,14032,178437,32282,443224.5,5778545,32282,443230.5,5778545,0.6353114022282706,0.9617420289795222,0.9902002197399873,0.0,0.06273502929179821,0.06589012929818107,square:12,square,1.0,unsymmetric:12,unsymmetric,1.0,real:12,real,1.0,partially_pattern_symmetric:12,partially_pattern_symmetric,1.0,no:12,no,1.0,computational fluid dynamics:10; computational fluid dynamics problem:2,computational fluid dynamics,0.833333,true:12,true,1.0,yes:12,yes,1.0,no:12,no,1.0,100k_to_1m:2; 10k_to_100k:5; 1k_to_10k:5,10k_to_100k,0.416667,Goodwin/Goodwin_010=1182,Goodwin/Goodwin_127=178437,Goodwin/Goodwin_010=1182,Goodwin/Goodwin_127=178437,Goodwin/Goodwin_010=32282,Goodwin/Goodwin_127=5778545,Goodwin/Goodwin_010=32282,Goodwin/Goodwin_127=5778545
Graham,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,1,32,9035,9035,9035,9035,9035,9035,335472,335472,335472,335504,335504,335504,0.718197839525901,0.718197839525901,0.718197839525901,0.0004322586733311619,0.0004322586733311619,0.0004322586733311619,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,real:1,real,1.0,partially_pattern_symmetric:1,partially_pattern_symmetric,1.0,no:1,no,1.0,computational fluid dynamics problem:1,computational fluid dynamics problem,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,1k_to_10k:1,1k_to_10k,1.0,Graham/graham1=9035,Graham/graham1=9035,Graham/graham1=9035,Graham/graham1=9035,Graham/graham1=335472,Graham/graham1=335472,Graham/graham1=335504,Graham/graham1=335504
Grueninger,2,small_group_lt5,0.0,0,1,0.694061,0.866354,1.068031,2,2050722,8256,24536,40816,8256,24536,40816,109368,456673,803978,233468,1482034,2730600,1.0,1,1.0,0.0,0,0.0,square:2,square,1.0,unsymmetric:2,unsymmetric,1.0,real:2,real,1.0,pattern_symmetric_only:2,pattern_symmetric_only,1.0,no:2,no,1.0,computational fluid dynamics problem:2,computational fluid dynamics problem,1.0,true:2,true,1.0,yes:2,yes,1.0,no:2,no,1.0,10k_to_100k:1; 1k_to_10k:1,10k_to_100k,0.5,Grueninger/windtunnel_evap2d=8256,Grueninger/windtunnel_evap3d=40816,Grueninger/windtunnel_evap2d=8256,Grueninger/windtunnel_evap3d=40816,Grueninger/windtunnel_evap2d=109368,Grueninger/windtunnel_evap3d=803978,Grueninger/windtunnel_evap2d=233468,Grueninger/windtunnel_evap3d=2730600
Grund,22,mixed_some_attributes,0.068182,1,3,3.916341,4.26339,4.2676,17,186212,7,3268,57735,7,3268,57735,15,20839,275094,15,27836,277774,0.0,0.006682474671265359,1.0,0.0,0.0004982346027775649,1.0,square:22,square,1.0,symmetric:1; unsymmetric:21,unsymmetric,0.954545,real:22,real,1.0,exact_numerical_or_hermitian:1; partially_pattern_symmetric:20; pattern_unsymmetric:1,partially_pattern_symmetric,0.909091,no:22,no,1.0,chemical process simulation problem:16; circuit simulation problem:2; economic problem:4,chemical process simulation problem,0.727273,true:22,true,1.0,no:22,no,1.0,no:22,no,1.0,10k_to_100k:7; 1k_to_10k:11; lt_1k:4,1k_to_10k,0.5,Grund/b1_ss=7,Grund/bayer01=57735,Grund/b1_ss=7,Grund/bayer01=57735,Grund/b1_ss=15,Grund/bayer01=275094,Grund/b1_ss=15,Grund/bayer01=277774
Gset,67,mixed_some_attributes,0.166667,2,3,1.09691,1.413499,1.413499,0,0,800,2000,10000,800,2000,10000,3200,23570,82918,3200,23570,82918,1.0,1,1.0,1.0,1,1.0,square:67,square,1.0,symmetric:67,symmetric,1.0,binary:34; integer:33,binary,0.507463,exact_numerical_or_hermitian:67,exact_numerical_or_hermitian,1.0,no:67,no,1.0,duplicate undirected random graph:12; undirected random graph:22; undirected weighted random graph:33,undirected weighted random graph,0.492537,missing:67,missing,1.0,no:67,no,1.0,no:67,no,1.0,10k_to_100k:1; 1k_to_10k:45; lt_1k:21,1k_to_10k,0.671642,Gset/G1=800; Gset/G10=800; Gset/G11=800; Gset/G12=800; Gset/G13=800; Gset/G14=800; Gset/G15=800; Gset/G16=800; Gset/G17=800; Gset/G18=800; Gset/G19=800; Gset/G2=800; Gset/G20=800; Gset/G21=800; Gset/G3=800; Gset/G4=800; Gset/G5=800; Gset/G6=800; Gset/G7=800; Gset/G8=800; Gset/G9=800,Gset/G67=10000,Gset/G1=800; Gset/G10=800; Gset/G11=800; Gset/G12=800; Gset/G13=800; Gset/G14=800; Gset/G15=800; Gset/G16=800; Gset/G17=800; Gset/G18=800; Gset/G19=800; Gset/G2=800; Gset/G20=800; Gset/G21=800; Gset/G3=800; Gset/G4=800; Gset/G5=800; Gset/G6=800; Gset/G7=800; Gset/G8=800; Gset/G9=800,Gset/G67=10000,Gset/G11=3200; Gset/G12=3200; Gset/G13=3200,Gset/G63=82918; Gset/G64=82918,Gset/G11=3200; Gset/G12=3200; Gset/G13=3200,Gset/G63=82918; Gset/G64=82918
Guettel,3,small_group_lt5,0.0,0,1,0.817132,1.251333,1.251333,0,0,27623,152078,181302,27623,152078,181302,439469,6459326,7839010,439469,6459326,7839010,1.0,1,1.0,1.0,1,1.0,square:3,square,1.0,symmetric:3,symmetric,1.0,real:3,real,1.0,exact_numerical_or_hermitian:3,exact_numerical_or_hermitian,1.0,no:3,no,1.0,electromagnetics problem:3,electromagnetics problem,1.0,true:3,true,1.0,yes:3,yes,1.0,yes:3,yes,1.0,100k_to_1m:2; 10k_to_100k:1,100k_to_1m,0.666667,Guettel/TEM27623=27623,Guettel/TEM181302=181302,Guettel/TEM27623=27623,Guettel/TEM181302=181302,Guettel/TEM27623=439469,Guettel/TEM181302=7839010,Guettel/TEM27623=439469,Guettel/TEM181302=7839010
Gupta,3,small_group_lt5,0.0,0,1,0.56797,0.634276,0.634276,0,0,16783,31802,62064,16783,31802,62064,2164210,4248286,9323427,2164210,4248286,9323427,1.0,1,1.0,1.0,1,1.0,square:3,square,1.0,symmetric:3,symmetric,1.0,binary:3,binary,1.0,exact_numerical_or_hermitian:3,exact_numerical_or_hermitian,1.0,no:3,no,1.0,optimization problem:3,optimization problem,1.0,true:3,true,1.0,no:3,no,1.0,yes:3,yes,1.0,10k_to_100k:3,10k_to_100k,1.0,Gupta/gupta3=16783,Gupta/gupta2=62064,Gupta/gupta3=16783,Gupta/gupta2=62064,Gupta/gupta1=2164210,Gupta/gupta3=9323427,Gupta/gupta1=2164210,Gupta/gupta3=9323427
HB,292,categorically_heterogeneous,0.352169,5,25,3.69518,4.930162,4.629132,51,41359,9,680,44609,9,670.5,44609,24,4089,2043492,48,4089,2043492,0.0,1,1.0,0.0,1,1.0,rectangular:16; square:276,square,0.945205,rectangular:16; skew-symmetric:2; symmetric:169; unsymmetric:105,symmetric,0.578767,binary:112; complex:3; integer:7; real:170,real,0.582192,exact_numerical_or_hermitian:169; partially_pattern_symmetric:83; pattern_symmetric_only:15; pattern_unsymmetric:9; rectangular:16,exact_numerical_or_hermitian,0.578767,no:232; yes:60,no,0.794521,2D/3D problem:22; 2D/3D problem sequence:4; acoustics problem:3; chemical process simulation problem:16; computational fluid dynamics problem:27; counter-example problem:3; directed graph:1; directed weighted graph:8; duplicate acoustics problem:1; duplicate structural problem:2; duplicate thermal problem:1; economic problem:14; least squares problem:11; materials problem:1; optimization problem:1; optimization problem sequence:3; power network problem:16; power network problem sequence:1; semiconductor device problem:2; statistical/mathematical problem:1; structural problem:119; subsequent 2D/3D problem:10; subsequent optimization problem:13; subsequent power network problem:1; thermal problem:11,structural problem,0.407534,false:20; missing:9; true:263,true,0.900685,no:89; yes:203,yes,0.695205,no:140; yes:152,yes,0.520548,10k_to_100k:9; 1k_to_10k:98; lt_1k:185,lt_1k,0.633562,HB/jgl009=9,HB/bcsstk32=44609,HB/jgl009=9,HB/bcsstk32=44609,HB/bcsstm01=24,HB/bcsstk30=2043492,HB/bcsstm01=48,HB/bcsstk30=2043492
HVDC,2,small_group_lt5,0.0,0,1,0.883247,0.927161,0.925387,2,9190,24842,107351,189860,24842,107351,189860,158426,749032,1339638,159981,753627,1347273,0.9817003233707516,0.9851479287391602,0.9885955341075688,0.06323365458033522,0.08111318278984582,0.09899271099935641,square:2,square,1.0,unsymmetric:2,unsymmetric,1.0,real:2,real,1.0,partially_pattern_symmetric:2,partially_pattern_symmetric,1.0,no:2,no,1.0,power network problem:2,power network problem,1.0,true:2,true,1.0,no:2,no,1.0,no:2,no,1.0,100k_to_1m:1; 10k_to_100k:1,100k_to_1m,0.5,HVDC/hvdc1=24842,HVDC/hvdc2=189860,HVDC/hvdc1=24842,HVDC/hvdc2=189860,HVDC/hvdc1=158426,HVDC/hvdc2=1339638,HVDC/hvdc1=159981,HVDC/hvdc2=1347273
Hamm,6,mixed_some_attributes,0.055556,1,1,1.853686,1.862831,1.743267,3,35207,2395,43330,170998,2395,43330,170998,13151,237352.5,958936,17319,250854,958936,0.9999410961997232,1,1.0,0.1951139297670355,0.5113996859135346,0.9084315976207868,square:6,square,1.0,unsymmetric:6,unsymmetric,1.0,real:6,real,1.0,partially_pattern_symmetric:2; pattern_symmetric_only:4,pattern_symmetric_only,0.666667,no:6,no,1.0,circuit simulation problem:6,circuit simulation problem,1.0,true:6,true,1.0,no:6,no,1.0,no:6,no,1.0,100k_to_1m:2; 10k_to_100k:2; 1k_to_10k:2,100k_to_1m,0.333333,Hamm/add20=2395,Hamm/scircuit=170998,Hamm/add20=2395,Hamm/scircuit=170998,Hamm/add20=13151,Hamm/scircuit=958936,Hamm/add20=17319,Hamm/scircuit=958936
Hamrle,3,small_group_lt5,0.0,0,1,4.655427,4.75026,4.75026,0,0,32,5952,1447360,32,5952,1447360,98,22162,5514242,98,22162,5514242,2.538882993038383e-06,0.0009930486593843098,0.06451612903225806,0.0,0,0.0001805543017062382,square:3,square,1.0,unsymmetric:3,unsymmetric,1.0,real:3,real,1.0,partially_pattern_symmetric:3,partially_pattern_symmetric,1.0,no:3,no,1.0,circuit simulation problem:3,circuit simulation problem,1.0,true:3,true,1.0,no:3,no,1.0,no:3,no,1.0,1k_to_10k:1; ge_1m:1; lt_1k:1,1k_to_10k,0.333333,Hamrle/Hamrle1=32,Hamrle/Hamrle3=1447360,Hamrle/Hamrle1=32,Hamrle/Hamrle3=1447360,Hamrle/Hamrle1=98,Hamrle/Hamrle3=5514242,Hamrle/Hamrle1=98,Hamrle/Hamrle3=5514242
Hardesty,3,small_group_lt5,0.222222,4,1,0.94632,1.002631,1.002631,0,0,929901,938905,8217820,303645,938905,7591564,4020731,12143314,40451632,4020731,12143314,40451632,0.0,0,1.0,0.0,0,1.0,rectangular:2; square:1,rectangular,0.666667,rectangular:2; symmetric:1,rectangular,0.666667,integer:1; real:2,real,0.666667,exact_numerical_or_hermitian:1; rectangular:2,rectangular,0.666667,no:3,no,1.0,computer graphics/vision problem:3,computer graphics/vision problem,1.0,true:3,true,1.0,yes:3,yes,1.0,no:3,no,1.0,100k_to_1m:2; ge_1m:1,100k_to_1m,0.666667,Hardesty/Hardesty2=929901,Hardesty/Hardesty3=8217820,Hardesty/Hardesty2=303645,Hardesty/Hardesty3=7591564,Hardesty/Hardesty2=4020731,Hardesty/Hardesty3=40451632,Hardesty/Hardesty2=4020731,Hardesty/Hardesty3=40451632
Harvard_Seismology,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,87616,87616,87616,67320,67320,67320,13734559,13734559,13734559,13734559,13734559,13734559,0.0,0,0.0,0.0,0,0.0,rectangular:1,rectangular,1.0,rectangular:1,rectangular,1.0,real:1,real,1.0,rectangular:1,rectangular,1.0,no:1,no,1.0,tomography problem:1,tomography problem,1.0,false:1,false,1.0,no:1,no,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,Harvard_Seismology/JP=87616,Harvard_Seismology/JP=87616,Harvard_Seismology/JP=67320,Harvard_Seismology/JP=67320,Harvard_Seismology/JP=13734559,Harvard_Seismology/JP=13734559,Harvard_Seismology/JP=13734559,Harvard_Seismology/JP=13734559
Hohn,6,mixed_some_attributes,0.027778,1,1,0.340523,1.522862,1.534216,3,53466,7500,11532,16428,7500,11532,16428,28462,173699,948696,28462,179196,973826,0.0,0.005925966048435875,0.01755337541442645,0.0,0,0.0,square:6,square,1.0,unsymmetric:6,unsymmetric,1.0,real:6,real,1.0,partially_pattern_symmetric:5; pattern_unsymmetric:1,partially_pattern_symmetric,0.833333,no:6,no,1.0,materials problem:6,materials problem,1.0,true:6,true,1.0,yes:6,yes,1.0,no:6,no,1.0,10k_to_100k:4; 1k_to_10k:2,10k_to_100k,0.666667,Hohn/fd12=7500; Hohn/sinc12=7500,Hohn/fd18=16428; Hohn/sinc18=16428,Hohn/fd12=7500; Hohn/sinc12=7500,Hohn/fd18=16428; Hohn/sinc18=16428,Hohn/fd12=28462,Hohn/sinc18=948696,Hohn/fd12=28462,Hohn/sinc18=973826
Hollinger,49,homogeneous,0.0,0,1,1.347391,1.595132,1.63018,49,1559421,2880,27534,64089,2880,27534,64089,18229,190224,717620,19635,215862,837936,0.003290255360374358,0.03703210435580416,0.07395887333678935,0.0,0,0.01417215070061332,square:49,square,1.0,unsymmetric:49,unsymmetric,1.0,real:49,real,1.0,partially_pattern_symmetric:49,partially_pattern_symmetric,1.0,no:49,no,1.0,economic problem:49,economic problem,1.0,true:49,true,1.0,no:49,no,1.0,no:49,no,1.0,10k_to_100k:41; 1k_to_10k:8,10k_to_100k,0.836735,Hollinger/g7jac010=2880; Hollinger/g7jac010sc=2880,Hollinger/mark3jac140=64089; Hollinger/mark3jac140sc=64089,Hollinger/g7jac010=2880; Hollinger/g7jac010sc=2880,Hollinger/mark3jac140=64089; Hollinger/mark3jac140sc=64089,Hollinger/g7jac010=18229; Hollinger/g7jac010sc=18229,Hollinger/g7jac200=717620; Hollinger/g7jac200sc=717620,Hollinger/g7jac010=19635; Hollinger/g7jac010sc=19635,Hollinger/g7jac200=837936; Hollinger/g7jac200sc=837936
IBM_Austin,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,1,1330,11341,11341,11341,11341,11341,11341,97193,97193,97193,98523,98523,98523,1.0,1,1.0,0.7823373235828404,0.7823373235828404,0.7823373235828404,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,real:1,real,1.0,pattern_symmetric_only:1,pattern_symmetric_only,1.0,no:1,no,1.0,circuit simulation problem:1,circuit simulation problem,1.0,true:1,true,1.0,no:1,no,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,IBM_Austin/coupled=11341,IBM_Austin/coupled=11341,IBM_Austin/coupled=11341,IBM_Austin/coupled=11341,IBM_Austin/coupled=97193,IBM_Austin/coupled=97193,IBM_Austin/coupled=98523,IBM_Austin/coupled=98523
IBM_EDA,7,mixed_some_attributes,0.095238,1,3,0.371199,0.362261,0.361971,3,33414,49702,116835,116835,49702,116835,116835,332807,749800,766396,333029,766396,766396,0.8542477149952045,0.8542477149952045,0.9838102263462359,0.2426284829292399,0.3018997890878642,0.7360237367761078,square:7,square,1.0,unsymmetric:7,unsymmetric,1.0,real:7,real,1.0,partially_pattern_symmetric:7,partially_pattern_symmetric,1.0,no:7,no,1.0,circuit simulation problem:2; circuit simulation problem sequence:2; subsequent circuit simulation problem:3,subsequent circuit simulation problem,0.428571,true:7,true,1.0,no:7,no,1.0,no:7,no,1.0,100k_to_1m:5; 10k_to_100k:2,100k_to_1m,0.714286,IBM_EDA/ckt11752_dc_1=49702; IBM_EDA/ckt11752_tr_0=49702,IBM_EDA/dc1=116835; IBM_EDA/dc2=116835; IBM_EDA/dc3=116835; IBM_EDA/trans4=116835; IBM_EDA/trans5=116835,IBM_EDA/ckt11752_dc_1=49702; IBM_EDA/ckt11752_tr_0=49702,IBM_EDA/dc1=116835; IBM_EDA/dc2=116835; IBM_EDA/dc3=116835; IBM_EDA/trans4=116835; IBM_EDA/trans5=116835,IBM_EDA/ckt11752_tr_0=332807,IBM_EDA/dc1=766396; IBM_EDA/dc2=766396; IBM_EDA/dc3=766396,IBM_EDA/ckt11752_dc_1=333029; IBM_EDA/ckt11752_tr_0=333029,IBM_EDA/dc1=766396; IBM_EDA/dc2=766396; IBM_EDA/dc3=766396; IBM_EDA/trans4=766396; IBM_EDA/trans5=766396
INPRO,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,1,1067772,415863,415863,415863,415863,415863,415863,19173163,19173163,19173163,20240935,20240935,20240935,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,real:1,real,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,yes:1,yes,1.0,structural problem:1,structural problem,1.0,true:1,true,1.0,yes:1,yes,1.0,yes:1,yes,1.0,100k_to_1m:1,100k_to_1m,1.0,INPRO/msdoor=415863,INPRO/msdoor=415863,INPRO/msdoor=415863,INPRO/msdoor=415863,INPRO/msdoor=19173163,INPRO/msdoor=19173163,INPRO/msdoor=20240935,INPRO/msdoor=20240935
IPSO,7,homogeneous,0.0,0,1,1.444137,1.153119,1.105278,7,330898,8140,29902,226340,8140,29902,226340,141478,762969,2012833,158273,820804,2016902,1.0,1,1.0,1.0,1,1.0,square:7,square,1.0,symmetric:7,symmetric,1.0,real:7,real,1.0,exact_numerical_or_hermitian:7,exact_numerical_or_hermitian,1.0,no:7,no,1.0,power network problem:7,power network problem,1.0,true:7,true,1.0,no:7,no,1.0,no:7,no,1.0,100k_to_1m:2; 10k_to_100k:3; 1k_to_10k:2,10k_to_100k,0.428571,IPSO/TSC_OPF_1047=8140,IPSO/HTC_336_4438=226340; IPSO/HTC_336_9129=226340,IPSO/TSC_OPF_1047=8140,IPSO/HTC_336_4438=226340; IPSO/HTC_336_9129=226340,IPSO/OPF_3754=141478,IPSO/TSC_OPF_1047=2012833,IPSO/OPF_3754=158273,IPSO/TSC_OPF_1047=2016902
JGD_BIBD,21,type_homogeneous_size_diverse,0.031746,0,1,3.580558,4.550595,4.550595,0,0,36,136,3240,84,3240,319770,252,25740,8953560,252,25740,8953560,0.0,0,1.0,0.0,0,1.0,rectangular:20; square:1,rectangular,0.952381,rectangular:20; symmetric:1,rectangular,0.952381,binary:21,binary,1.0,exact_numerical_or_hermitian:1; rectangular:20,rectangular,0.952381,no:20; yes:1,no,0.952381,combinatorial problem:21,combinatorial problem,1.0,true:21,true,1.0,no:21,no,1.0,no:20; yes:1,no,0.952381,100k_to_1m:2; 10k_to_100k:6; 1k_to_10k:6; lt_1k:7,lt_1k,0.333333,JGD_BIBD/bibd_9_3=36; JGD_BIBD/bibd_9_5=36,JGD_BIBD/bibd_81_2=3240; JGD_BIBD/bibd_81_3=3240,JGD_BIBD/bibd_9_3=84,JGD_BIBD/bibd_22_8=319770,JGD_BIBD/bibd_9_3=252,JGD_BIBD/bibd_22_8=8953560,JGD_BIBD/bibd_9_3=252,JGD_BIBD/bibd_22_8=8953560
JGD_CAG,3,small_group_lt5,0.0,0,1,1.425063,2.287042,2.287042,0,0,72,364,1916,72,364,1916,1012,13585,195985,1012,13585,195985,0.3002540333592691,0.4155510173209288,0.5574468085106383,0.2119864584245809,0.2804628999319265,0.3340425531914893,square:3,square,1.0,unsymmetric:3,unsymmetric,1.0,integer:3,integer,1.0,partially_pattern_symmetric:3,partially_pattern_symmetric,1.0,no:3,no,1.0,combinatorial problem:3,combinatorial problem,1.0,true:3,true,1.0,no:3,no,1.0,no:3,no,1.0,1k_to_10k:1; lt_1k:2,lt_1k,0.666667,JGD_CAG/CAG_mat72=72,JGD_CAG/CAG_mat1916=1916,JGD_CAG/CAG_mat72=72,JGD_CAG/CAG_mat1916=1916,JGD_CAG/CAG_mat72=1012,JGD_CAG/CAG_mat1916=195985,JGD_CAG/CAG_mat72=1012,JGD_CAG/CAG_mat1916=195985
JGD_Forest,10,type_homogeneous_size_diverse,0.0,0,1,3.472982,3.846763,3.846763,0,0,99,4489,241029,107,5451,317955,622,54959.5,4370721,622,54959.5,4370721,0.0,0,0.0,0.0,0,0.0,rectangular:10,rectangular,1.0,rectangular:10,rectangular,1.0,integer:10,integer,1.0,rectangular:10,rectangular,1.0,no:10,no,1.0,combinatorial problem:10,combinatorial problem,1.0,true:10,true,1.0,no:10,no,1.0,no:10,no,1.0,100k_to_1m:2; 10k_to_100k:2; 1k_to_10k:3; lt_1k:3,1k_to_10k,0.3,JGD_Forest/TF10=99,JGD_Forest/TF19=241029,JGD_Forest/TF10=107,JGD_Forest/TF19=317955,JGD_Forest/TF10=622,JGD_Forest/TF19=4370721,JGD_Forest/TF10=622,JGD_Forest/TF19=4370721
JGD_Franz,11,homogeneous,0.0,0,1,1.32281,1.808886,1.808886,0,0,1280,7576,47104,768,4164,30144,5120,45456,329728,5120,45456,329728,0.0,0,0.0,0.0,0,0.0,rectangular:11,rectangular,1.0,rectangular:11,rectangular,1.0,integer:11,integer,1.0,rectangular:11,rectangular,1.0,no:11,no,1.0,combinatorial problem:11,combinatorial problem,1.0,true:11,true,1.0,no:11,no,1.0,no:11,no,1.0,10k_to_100k:5; 1k_to_10k:6,1k_to_10k,0.545455,JGD_Franz/Franz3=1280,JGD_Franz/Franz11=47104,JGD_Franz/Franz1=768,JGD_Franz/Franz11=30144,JGD_Franz/Franz1=5120,JGD_Franz/Franz11=329728,JGD_Franz/Franz1=5120,JGD_Franz/Franz11=329728
JGD_G5,13,type_homogeneous_size_diverse,0.0,0,1,2.79379,3.853298,3.853298,0,0,30,2296,47894,77,2875,41550,251,46260,1790490,251,46260,1790490,0.0,0,0.0,0.0,0,0.0,rectangular:13,rectangular,1.0,rectangular:13,rectangular,1.0,integer:13,integer,1.0,rectangular:13,rectangular,1.0,no:13,no,1.0,combinatorial problem:13,combinatorial problem,1.0,false:10; true:3,false,0.769231,no:13,no,1.0,no:13,no,1.0,10k_to_100k:4; 1k_to_10k:4; lt_1k:5,lt_1k,0.384615,JGD_G5/IG5-6=30,JGD_G5/IG5-18=47894,JGD_G5/IG5-6=77,JGD_G5/IG5-18=41550,JGD_G5/IG5-6=251,JGD_G5/IG5-18=1790490,JGD_G5/IG5-6=251,JGD_G5/IG5-18=1790490
JGD_GL6,5,homogeneous,0.0,0,1,0.271385,0.476698,0.476698,0,0,163,469,636,201,470,637,2053,4349,6153,2053,4349,6153,0.0,0,0.0,0.0,0,0.0,rectangular:5,rectangular,1.0,rectangular:5,rectangular,1.0,integer:5,integer,1.0,rectangular:5,rectangular,1.0,no:5,no,1.0,combinatorial problem:5,combinatorial problem,1.0,false:5,false,1.0,no:5,no,1.0,no:5,no,1.0,lt_1k:5,lt_1k,1.0,JGD_GL6/GL6_D_10=163,JGD_GL6/GL6_D_7=636,JGD_GL6/GL6_D_6=201,JGD_GL6/GL6_D_8=637,JGD_GL6/GL6_D_10=2053,JGD_GL6/GL6_D_8=6153,JGD_GL6/GL6_D_10=2053,JGD_GL6/GL6_D_8=6153
JGD_GL7d,17,type_homogeneous_size_diverse,0.0,0,1,4.513064,6.668883,6.668883,0,0,1,171375,1955309,60,171375,1955309,8,2695430,37322725,8,2695430,37322725,0.0,0,0.0,0.0,0,0.0,rectangular:17,rectangular,1.0,rectangular:17,rectangular,1.0,integer:17,integer,1.0,rectangular:17,rectangular,1.0,no:17,no,1.0,combinatorial problem:17,combinatorial problem,1.0,false:9; true:8,false,0.529412,no:17,no,1.0,no:17,no,1.0,100k_to_1m:6; 10k_to_100k:2; 1k_to_10k:3; ge_1m:5; lt_1k:1,100k_to_1m,0.352941,JGD_GL7d/GL7d10=1,JGD_GL7d/GL7d18=1955309,JGD_GL7d/GL7d10=60; JGD_GL7d/GL7d11=60,JGD_GL7d/GL7d19=1955309,JGD_GL7d/GL7d10=8,JGD_GL7d/GL7d19=37322725,JGD_GL7d/GL7d10=8,JGD_GL7d/GL7d19=37322725
JGD_Groebner,8,mixed_some_attributes,0.020833,1,1,1.154117,2.211965,2.211965,0,0,302,2414,4562,302,2511,5761,15118,171214,2462970,15118,171214,2462970,0.0,0,0.0,0.0,0,0.0,rectangular:8,rectangular,1.0,rectangular:8,rectangular,1.0,binary:1; integer:7,integer,0.875,rectangular:8,rectangular,1.0,no:8,no,1.0,combinatorial problem:8,combinatorial problem,1.0,false:1; true:7,true,0.875,no:8,no,1.0,no:8,no,1.0,1k_to_10k:5; lt_1k:3,1k_to_10k,0.625,JGD_Groebner/robot24c1_mat5_J=302,JGD_Groebner/c8_mat11=4562; JGD_Groebner/c8_mat11_I=4562,JGD_Groebner/robot24c1_mat5=302,JGD_Groebner/c8_mat11=5761; JGD_Groebner/c8_mat11_I=5761,JGD_Groebner/robot24c1_mat5=15118; JGD_Groebner/robot24c1_mat5_J=15118,JGD_Groebner/c8_mat11=2462970; JGD_Groebner/c8_mat11_I=2462970,JGD_Groebner/robot24c1_mat5=15118; JGD_Groebner/robot24c1_mat5_J=15118,JGD_Groebner/c8_mat11=2462970; JGD_Groebner/c8_mat11_I=2462970
